Trial,Valid,Score,WallSeconds,Wz,We,Wv,Wu,Wdu,Np,Nc,Message
1,1,35.0503568357894,15.0192953,0.1376,3.1641,0.2884,0.2268,0.3757,20,10,
2,1,31.5644294506882,18.9061284,0.1376,5,0.2884,0.2268,0.3757,20,10,
3,1,81.0568133461228,16.6999406,0.1376,3.1641,0.8652,0.2268,0.3757,20,10,
4,1,35.0071638347356,16.3552112,0.4128,3.1641,0.2884,0.1134,0.3757,20,10,
5,0,1000000000000,22.869982,0.0395204182711957,0.229956740367436,0.369471663267069,0.00217538687252171,1.04240627583124,20,10,load 1: Runaway/poor-tracking rejection threshold exceeded.
6,0,1000000000000,23.8548145,0.0165281586452231,1.90426909112911,2.14336866410241,0.336222441352493,3.12838916871753,50,5,load 1: Feedback torque rate constraint exceeded.
7,0,1000000000000,13.732234,0.146946044166215,4.32340830605918,0.97502773496661,0.0591109037577992,0.0800165973098766,15,2,load 1: Feedback torque rate constraint exceeded.
8,1,163.515315210526,24.7101162,0.0337574954296469,1.10106842811963,0.640768869574723,0.00741142113978302,0.0506328068377383,50,8,
9,0,1000000000000,18.339404,0.183135218769804,0.332868467247861,0.859137180549407,0.0375045269916886,3.23641194851538,40,2,load 1: Feedback torque rate constraint exceeded.
10,0,1000000000000,14.3547678,0.151654053347269,1.74558298624169,0.617524832323435,0.0287693577601219,9.87986318266184,20,3,load 1: Feedback torque rate constraint exceeded.
11,1,56.0780218988323,17.3095165,0.0205475710692865,0.578902344669866,0.0469517318924321,0.332097542796612,1.01107762520252,30,8,
12,1,98.7932733963476,12.7334469,1.91416336349403,1.55284302056603,0.0219230235525237,0.00262230417921571,1.27416575428426,15,2,
13,1,713.048089214454,21.487891,0.203074759967894,1.72501547398218,1.39684005917298,0.005819463849381,2.1624571834658,50,2,
14,1,886.208907801945,27.3855497,1.94452931431753,0.276031738089261,1.08332602718375,0.00167651473364578,0.154505136551971,15,10,
15,1,29.1270745225474,17.3035906,0.459629506299999,2.49959618345613,0.045427705054813,0.397533789092206,0.0706289256379363,20,10,
16,1,482.097223734873,14.3304574,0.0196919872177441,1.1723989052146,0.615407253162087,0.0745374825047118,0.340673757492297,15,3,
17,0,1000000000000,15.739228,0.302754481265601,0.23998005961142,1.50554516554651,0.0156555198163286,0.982283969461221,15,5,load 1: Runaway/poor-tracking rejection threshold exceeded.
18,1,204.303396437622,15.0484938,0.0335212941391606,1.03949939066625,0.343130776080408,0.0340553862243305,0.569507163316131,30,5,
19,1,75.7708568073131,22.7928878,0.212153238250455,0.224080533282777,0.0540457582533964,0.00614721715621543,1.29963405798767,50,8,
20,1,633.354293531233,19.8482052,0.387595659878795,0.930155125349134,0.490186577813104,0.00213129986075183,3.14549175120807,50,2,
21,0,1000000000000,19.3200396,1.09207397748306,0.282547996090781,0.0223958777723716,0.0021588886453262,0.124762454132097,50,2,load 1: Feedback torque rate constraint exceeded.
22,0,1000000000000,13.4682547,0.0193519628128235,0.510087022863095,0.299074461975321,0.00220049665191739,2.87924998750582,20,5,load 1: Feedback torque rate constraint exceeded.
23,1,232.160524772256,17.0992158,0.788013420755731,0.861795029071971,0.415182691796297,0.00633324287579375,0.771382754780383,40,5,
24,0,1000000000000,21.5951045,0.0335333777192071,1.14707262666642,0.171938544347296,0.0906918106456912,0.421162410744481,50,5,load 1: Feedback torque rate constraint exceeded.
25,1,28.9145484873275,15.2442304,0.79612407374481,2.4122340146015,0.023108731921904,0.146898965126967,0.04858404062853,20,10,
26,1,28.9643205854601,15.2432979,0.27596026215473,2.71552579767856,0.0287497651932751,0.219496631808205,0.0453086401925719,20,10,
27,1,151.153285556467,11.8913412,1.42813875142963,2.20210745607287,0.02,0.0721825818163604,0.03,20,3,
28,1,28.9860504645569,14.634631,0.69671353867746,2.1507076057847,0.02,0.0918514002302006,0.0759639774410602,20,10,
29,1,32.8989637879561,17.2151224,0.790295022148791,1.59652013312806,0.02,0.051004935677691,0.0402225875120117,30,10,
30,1,45.1418149166526,12.0507151,0.821265008320169,5,0.0738468346484614,0.123301282714234,0.03,15,5,
31,1,289.12906767988,14.4182124,0.765328430977944,1.10590669717828,0.02,0.181727935364887,0.0385179335140255,30,3,
32,1,27.9105966073216,15.1212575,1.50417639994456,2.00336716777101,0.02,0.319937476558575,0.0369926553668087,20,10,
33,1,187.135835598104,12.4335758,2,1.78207896267078,0.0204361668625119,1,0.0505688185152507,20,2,
34,1,28.704224499917,15.3124369,1.15478643342605,2.68976951626214,0.0402044219088901,0.2007941416202,0.0583708386905527,20,10,
35,1,147.759722815285,12.85308,2,2.10604435584025,0.0222534996451317,0.139381813914349,0.0446246520182708,20,3,
36,1,29.080970264836,15.424024,0.880473473970256,3.60992694128413,0.02,0.11000098556689,0.0478127494054017,20,10,
37,1,77.7904912855403,13.299456,1.21889526027171,0.959487187335815,0.02,0.566093315716925,0.0705358861378576,20,5,
38,1,81.6754956052456,11.9867713,1.26723615857688,5,0.0576599218691768,0.490015594396623,0.03,15,3,
39,1,28.8870043553485,15.5921977,2,4.66773796415183,0.0321246537020437,0.60728232233643,0.03,20,10,
40,1,29.7173794401732,15.6043646,0.458711595787008,2.22030162735403,0.0730370982907871,0.403673231379549,0.0479359792385134,20,10,
